"label
0-平;1-升CPU;2-升内存;3-升CPU内存;-1-降CPU;-2-降内存;-3-降CPU内存",机器名,业务IP,归属系统,归属微服务,系统级别,进程,规格,机房,网络区域,芯片架构,最高CPU利用率,最高内存利用率,CPU利用率(>20%)时间占比,CPU利用率(>30%)时间占比,创建/变更时间
0,bjb-cmdb-ES-kzx-0001,10.3.5.123,CMDB,ES,C,ES,8C16G,bjb,KFCS,x86,96%,27%,6%,3%,2020-06-03
0,bjb-cmdb-ES-kzx-0002,10.3.5.36,CMDB,ES,C,ES,8C16G,bjb,KFCS,x86,38%,29%,17%,8%,2020-09-13
-1,bjb-cmdb-ES-kzx-0003,10.3.5.75,CMDB,ES,C,ES,8C16G,bjb,KFCS,x86,90%,51%,5%,2%,2020-07-15
2,hfa-cmdb-ES-kzx-0001,10.3.3.169,CMDB,ES,C,ES,2C4G,hfa,KFCS,C86,26%,41%,18%,0%,2020-03-01
-3,hfa-cmdb-ES-kzx-0002,10.3.3.242,CMDB,ES,C,ES,2C4G,hfa,KFCS,C86,15%,11%,0%,0%,2020-08-17
0,hfa-cmdb-ES-kzx-0003,10.3.3.17,CMDB,ES,C,ES,2C4G,hfa,KFCS,C86,56%,16%,24%,20%,2020-09-08
0,bja-cmdb-MGR-kzx-0001,10.2.4.10,CMDB,MGR,C,MGR,4C16G,bja,SCYW,x86,81%,72%,55%,43%,2020-10-08
2,bja-cmdb-MGR-kzx-0002,10.2.4.211,CMDB,MGR,C,MGR,4C16G,bja,SCYW,x86,15%,89%,0%,0%,2020-01-09
3,bjb-cmdb-MGR-kzx-0001,10.2.5.114,CMDB,MGR,C,MGR,4C16G,bjb,SCYW,x86,42%,22%,6%,3%,2020-08-03
-1,bjb-cmdb-MGR-kzx-0002,10.2.5.209,CMDB,MGR,C,MGR,4C16G,bjb,SCYW,x86,22%,79%,29%,0%,2020-07-23
-1,hfa-cmdb-MGR-kzx-0001,10.2.3.190,CMDB,MGR,C,MGR,4C8G,hfa,SCYW,ARM,23%,25%,10%,0%,2020-05-02
3,hfa-cmdb-MGR-kzx-0002,10.2.3.80,CMDB,MGR,C,MGR,4C8G,hfa,SCYW,ARM,19%,48%,0%,0%,2020-01-06
-2,bja-cmdb-Nginx-kzx-0001,10.3.4.37,CMDB,Nginx,C,Nginx,4C8G,bja,KFCS,ARM,100%,85%,70%,46%,2020-07-25
-1,bja-cmdb-Nginx-kzx-0002,10.3.4.254,CMDB,Nginx,C,Nginx,4C8G,bja,KFCS,ARM,94%,46%,21%,1%,2020-03-28
-2,bjb-cmdb-Nginx-kzx-0001,10.3.5.182,CMDB,Nginx,C,Nginx,4C8G,bjb,KFCS,x86,29%,19%,4%,0%,2020-02-01
-1,bjb-cmdb-Nginx-kzx-0002,10.3.5.238,CMDB,Nginx,C,Nginx,4C8G,bjb,KFCS,x86,14%,49%,0%,0%,2020-01-20
1,hfa-cmdb-Nginx-kzx-0001,10.3.3.146,CMDB,Nginx,C,Nginx,4C8G,hfa,KFCS,C86,56%,10%,7%,3%,2020-05-27
-2,hfa-cmdb-Nginx-kzx-0002,10.3.3.248,CMDB,Nginx,C,Nginx,4C8G,hfa,KFCS,C86,22%,65%,5%,0%,2020-06-08
2,bja-cmdb-adapter-kzx-0001,10.3.4.60,CMDB,adapter,C,adapter,16C64G,bja,KFCS,C86,66%,100%,66%,49%,2020-04-26
1,bja-cmdb-adapter-kzx-0002,10.3.4.59,CMDB,adapter,C,adapter,16C64G,bja,KFCS,C86,75%,27%,8%,4%,2020-07-02
1,bjb-cmdb-adapter-kzx-0001,10.3.5.216,CMDB,adapter,C,adapter,16C64G,bjb,KFCS,C86,37%,56%,48%,11%,2020-09-22
2,bjb-cmdb-adapter-kzx-0002,10.3.5.101,CMDB,adapter,C,adapter,16C64G,bjb,KFCS,C86,45%,21%,13%,4%,2020-05-20
1,hfa-cmdb-adapter-kzx-0001,10.3.3.113,CMDB,adapter,C,adapter,8C32G,hfa,KFCS,C86,16%,13%,0%,0%,2020-08-13
-2,hfa-cmdb-adapter-kzx-0002,10.3.3.95,CMDB,adapter,C,adapter,8C32G,hfa,KFCS,C86,29%,86%,19%,0%,2020-11-19
-2,bja-cmdb-app-kzx-0001,10.7.4.222,CMDB,app,C,app,32C64G,bja,HXYW,ARM,100%,82%,69%,49%,2020-10-05
1,bja-cmdb-app-kzx-0002,10.7.4.128,CMDB,app,C,app,32C64G,bja,HXYW,ARM,13%,15%,0%,0%,2020-03-09
0,bjb-cmdb-app-kzx-0001,10.7.5.116,CMDB,app,C,app,32C64G,bjb,HXYW,C86,51%,68%,19%,6%,2020-10-10
1,bjb-cmdb-app-kzx-0002,10.7.5.154,CMDB,app,C,app,32C64G,bjb,HXYW,C86,58%,49%,12%,10%,2020-04-11
-1,hfa-cmdb-app-kzx-0001,10.7.3.26,CMDB,app,C,app,32C64G,hfa,HXYW,x86,60%,63%,25%,6%,2020-12-18
1,hfa-cmdb-app-kzx-0002,10.7.3.51,CMDB,app,C,app,32C64G,hfa,HXYW,x86,13%,27%,0%,0%,2020-09-23
0,bja-cmdb-web-kzx-0001,10.1.4.231,CMDB,web,C,web,16C32G,bja,AG,x86,60%,69%,26%,11%,2020-04-03
-1,bja-cmdb-web-kzx-0002,10.1.4.251,CMDB,web,C,web,16C32G,bja,AG,x86,90%,14%,5%,2%,2020-04-21
3,bja-cmdb-web-kzx-0003,10.1.4.148,CMDB,web,C,web,16C32G,bja,AG,x86,26%,78%,36%,0%,2020-08-09
-2,bja-cmdb-web-kzx-0004,10.1.4.118,CMDB,web,C,web,16C32G,bja,AG,x86,14%,41%,0%,0%,2020-10-08
-2,bjb-cmdb-web-kzx-0001,10.1.5.85,CMDB,web,C,web,16C32G,bjb,AG,C86,49%,77%,55%,27%,2020-01-05
-2,bjb-cmdb-web-kzx-0002,10.1.5.241,CMDB,web,C,web,16C32G,bjb,AG,C86,23%,14%,30%,0%,2020-05-18
-1,bjb-cmdb-web-kzx-0003,10.1.5.240,CMDB,web,C,web,16C32G,bjb,AG,C86,20%,18%,20%,0%,2020-11-27
0,bjb-cmdb-web-kzx-0004,10.1.5.106,CMDB,web,C,web,16C32G,bjb,AG,C86,19%,27%,0%,0%,2020-04-05
0,hfa-cmdb-web-kzx-0001,10.1.3.82,CMDB,web,C,web,8C16G,hfa,AG,ARM,31%,11%,18%,8%,2020-03-25
2,hfa-cmdb-web-kzx-0002,10.1.3.72,CMDB,web,C,web,8C16G,hfa,AG,ARM,55%,67%,5%,2%,2020-03-09
-3,hfa-cmdb-web-kzx-0003,10.1.3.28,CMDB,web,C,web,8C16G,hfa,AG,ARM,44%,100%,5%,2%,2020-11-20
2,hfa-cmdb-web-kzx-0004,10.1.3.229,CMDB,web,C,web,8C16G,hfa,AG,ARM,66%,27%,22%,4%,2020-12-12
1,hfa-dcos-Kafka-kzx-0001,10.7.3.137,DCOS,Kafka,B,Kafka,2C8G,hfa,HXYW,C86,28%,13%,24%,0%,2020-05-14
2,hfa-dcos-Kafka-kzx-0002,10.7.3.214,DCOS,Kafka,B,Kafka,2C8G,hfa,HXYW,C86,74%,97%,2%,1%,2020-10-16
-1,hfa-dcos-Kafka-kzx-0003,10.7.3.82,DCOS,Kafka,B,Kafka,2C8G,hfa,HXYW,C86,17%,25%,0%,0%,2020-08-10
0,sza-dcos-Kafka-kzx-0001,10.7.1.253,DCOS,Kafka,B,Kafka,16C32G,sza,HXYW,ARM,53%,90%,62%,55%,2020-12-17
-2,sza-dcos-Kafka-kzx-0002,10.7.1.245,DCOS,Kafka,B,Kafka,16C32G,sza,HXYW,ARM,27%,52%,28%,0%,2020-05-18
3,sza-dcos-Kafka-kzx-0003,10.7.1.13,DCOS,Kafka,B,Kafka,16C32G,sza,HXYW,ARM,21%,33%,76%,0%,2020-04-01
1,szb-dcos-Kafka-kzx-0001,10.7.2.189,DCOS,Kafka,B,Kafka,16C32G,szb,HXYW,x86,18%,19%,0%,0%,2020-07-03
2,szb-dcos-Kafka-kzx-0002,10.7.2.164,DCOS,Kafka,B,Kafka,16C32G,szb,HXYW,x86,26%,30%,10%,0%,2020-08-08
-3,szb-dcos-Kafka-kzx-0003,10.7.2.114,DCOS,Kafka,B,Kafka,16C32G,szb,HXYW,x86,23%,15%,1%,0%,2020-05-12
2,hfa-dcos-MGR-kzx-0001,10.3.3.76,DCOS,MGR,B,MGR,2C4G,hfa,KFCS,C86,14%,21%,0%,0%,2020-10-02
-1,hfa-dcos-MGR-kzx-0002,10.3.3.106,DCOS,MGR,B,MGR,2C4G,hfa,KFCS,C86,19%,11%,0%,0%,2020-07-19
-1,sza-dcos-MGR-kzx-0001,10.3.1.161,DCOS,MGR,B,MGR,2C8G,sza,KFCS,x86,83%,72%,65%,46%,2020-11-10
2,sza-dcos-MGR-kzx-0002,10.3.1.30,DCOS,MGR,B,MGR,2C8G,sza,KFCS,x86,17%,34%,0%,0%,2020-07-21
1,szb-dcos-MGR-kzx-0001,10.3.2.56,DCOS,MGR,B,MGR,2C8G,szb,KFCS,x86,21%,80%,7%,0%,2020-01-04
-1,szb-dcos-MGR-kzx-0002,10.3.2.230,DCOS,MGR,B,MGR,2C8G,szb,KFCS,x86,100%,24%,6%,3%,2020-07-15
2,hfa-dcos-Nginx-kzx-0001,10.7.3.245,DCOS,Nginx,B,Nginx,2C4G,hfa,HXYW,C86,17%,42%,0%,0%,2020-09-20
-1,hfa-dcos-Nginx-kzx-0002,10.7.3.224,DCOS,Nginx,B,Nginx,2C4G,hfa,HXYW,C86,13%,39%,0%,0%,2020-09-27
0,sza-dcos-Nginx-kzx-0001,10.7.1.194,DCOS,Nginx,B,Nginx,2C4G,sza,HXYW,x86,70%,100%,66%,56%,2020-10-18
2,sza-dcos-Nginx-kzx-0002,10.7.1.58,DCOS,Nginx,B,Nginx,2C4G,sza,HXYW,x86,11%,11%,0%,0%,2020-12-02
2,szb-dcos-Nginx-kzx-0001,10.7.2.184,DCOS,Nginx,B,Nginx,2C4G,szb,HXYW,x86,43%,34%,64%,27%,2020-10-04
-1,szb-dcos-Nginx-kzx-0002,10.7.2.128,DCOS,Nginx,B,Nginx,2C4G,szb,HXYW,x86,31%,36%,22%,6%,2020-10-11
-1,hfa-dcos-adapter-kzx-0001,10.7.3.86,DCOS,adapter,B,adapter,16C32G,hfa,HXYW,ARM,41%,19%,14%,3%,2020-09-13
2,hfa-dcos-adapter-kzx-0002,10.7.3.153,DCOS,adapter,B,adapter,16C32G,hfa,HXYW,ARM,34%,26%,27%,16%,2020-08-09
-1,sza-dcos-adapter-kzx-0001,10.7.1.116,DCOS,adapter,B,adapter,16C64G,sza,HXYW,ARM,82%,83%,58%,44%,2020-03-14
1,sza-dcos-adapter-kzx-0002,10.7.1.57,DCOS,adapter,B,adapter,16C64G,sza,HXYW,ARM,14%,36%,0%,0%,2020-04-17
1,szb-dcos-adapter-kzx-0001,10.7.2.231,DCOS,adapter,B,adapter,16C64G,szb,HXYW,ARM,21%,82%,2%,0%,2020-08-21
-3,szb-dcos-adapter-kzx-0002,10.7.2.38,DCOS,adapter,B,adapter,16C64G,szb,HXYW,ARM,10%,16%,0%,0%,2020-02-03
-3,hfa-dcos-order-kzx-0001,10.8.3.231,DCOS,order,B,order,2C8G,hfa,OA,C86,45%,13%,30%,7%,2020-12-26
3,hfa-dcos-order-kzx-0002,10.8.3.204,DCOS,order,B,order,2C8G,hfa,OA,C86,30%,43%,15%,1%,2020-06-03
2,sza-dcos-order-kzx-0001,10.8.1.215,DCOS,order,B,order,2C8G,sza,OA,C86,85%,40%,54%,48%,2020-04-02
-2,sza-dcos-order-kzx-0002,10.8.1.244,DCOS,order,B,order,2C8G,sza,OA,C86,43%,17%,10%,5%,2020-11-10
2,szb-dcos-order-kzx-0001,10.8.2.140,DCOS,order,B,order,2C8G,szb,OA,ARM,21%,56%,1%,0%,2020-06-10
-3,szb-dcos-order-kzx-0002,10.8.2.43,DCOS,order,B,order,2C8G,szb,OA,ARM,22%,15%,16%,0%,2020-12-18
-3,hfa-dcos-service-kzx-0001,10.2.3.139,DCOS,service,B,service,2C8G,hfa,SCYW,ARM,15%,14%,0%,0%,2020-03-24
1,hfa-dcos-service-kzx-0002,10.2.3.199,DCOS,service,B,service,2C8G,hfa,SCYW,ARM,12%,97%,0%,0%,2020-01-09
0,sza-dcos-service-kzx-0001,10.2.1.128,DCOS,service,B,service,8C16G,sza,SCYW,x86,85%,95%,56%,42%,2020-08-25
1,sza-dcos-service-kzx-0002,10.2.1.73,DCOS,service,B,service,8C16G,sza,SCYW,x86,27%,95%,74%,0%,2020-04-02
1,szb-dcos-service-kzx-0001,10.2.2.35,DCOS,service,B,service,8C16G,szb,SCYW,x86,38%,37%,14%,4%,2020-06-26
-3,szb-dcos-service-kzx-0002,10.2.2.47,DCOS,service,B,service,8C16G,szb,SCYW,x86,17%,39%,0%,0%,2020-05-16
-2,hfa-dcos-web-kzx-0001,10.1.3.170,DCOS,web,B,web,2C8G,hfa,AG,x86,52%,23%,19%,4%,2020-07-28
-3,hfa-dcos-web-kzx-0002,10.1.3.74,DCOS,web,B,web,2C8G,hfa,AG,x86,76%,31%,7%,3%,2020-08-11
3,sza-dcos-web-kzx-0001,10.1.1.132,DCOS,web,B,web,32C64G,sza,AG,x86,85%,78%,64%,53%,2020-03-27
2,sza-dcos-web-kzx-0002,10.1.1.96,DCOS,web,B,web,32C64G,sza,AG,x86,96%,13%,2%,1%,2020-08-17
-3,szb-dcos-web-kzx-0001,10.1.2.151,DCOS,web,B,web,32C64G,szb,AG,x86,93%,44%,4%,2%,2020-04-18
3,szb-dcos-web-kzx-0002,10.1.2.51,DCOS,web,B,web,32C64G,szb,AG,x86,46%,20%,19%,9%,2020-05-26
0,bja-ems-MGR-kzx-0001,10.1.4.140,EMS,MGR,A,MGR,4C16G,bja,AG,x86,88%,67%,78%,69%,2020-01-06
2,bja-ems-MGR-kzx-0002,10.1.4.90,EMS,MGR,A,MGR,4C16G,bja,AG,x86,16%,23%,0%,0%,2020-08-05
0,bjb-ems-MGR-kzx-0001,10.1.5.173,EMS,MGR,A,MGR,4C16G,bjb,AG,ARM,60%,30%,39%,25%,2020-10-19
-1,bjb-ems-MGR-kzx-0002,10.1.5.1,EMS,MGR,A,MGR,4C16G,bjb,AG,ARM,100%,35%,26%,15%,2020-09-24
-1,hfa-ems-MGR-kzx-0001,10.1.3.9,EMS,MGR,A,MGR,2C8G,hfa,AG,ARM,28%,27%,30%,0%,2020-06-27
-1,hfa-ems-MGR-kzx-0002,10.1.3.55,EMS,MGR,A,MGR,2C8G,hfa,AG,ARM,46%,63%,7%,3%,2020-09-06
3,bja-ems-Nginx-kzx-0001,10.2.4.199,EMS,Nginx,A,Nginx,16C32G,bja,SCYW,ARM,79%,86%,46%,26%,2020-12-26
-3,bja-ems-Nginx-kzx-0002,10.2.4.212,EMS,Nginx,A,Nginx,16C32G,bja,SCYW,ARM,76%,41%,19%,4%,2020-07-04
3,bja-ems-Nginx-kzx-0003,10.2.4.137,EMS,Nginx,A,Nginx,16C32G,bja,SCYW,ARM,82%,52%,36%,2%,2020-02-26
3,bjb-ems-Nginx-kzx-0001,10.2.5.156,EMS,Nginx,A,Nginx,16C32G,bjb,SCYW,ARM,45%,10%,18%,5%,2020-11-07
2,bjb-ems-Nginx-kzx-0002,10.2.5.147,EMS,Nginx,A,Nginx,16C32G,bjb,SCYW,ARM,22%,38%,42%,0%,2020-08-12
0,bjb-ems-Nginx-kzx-0003,10.2.5.177,EMS,Nginx,A,Nginx,16C32G,bjb,SCYW,ARM,58%,22%,20%,7%,2020-02-20
-1,hfa-ems-Nginx-kzx-0001,10.2.3.58,EMS,Nginx,A,Nginx,16C32G,hfa,SCYW,C86,44%,29%,69%,19%,2020-02-19
2,hfa-ems-Nginx-kzx-0002,10.2.3.120,EMS,Nginx,A,Nginx,16C32G,hfa,SCYW,C86,22%,63%,59%,0%,2020-05-08
2,hfa-ems-Nginx-kzx-0003,10.2.3.13,EMS,Nginx,A,Nginx,16C32G,hfa,SCYW,C86,32%,28%,25%,7%,2020-10-07
-1,bja-ems-Redis-kzx-0001,10.1.4.224,EMS,Redis,A,Redis,8C32G,bja,AG,ARM,82%,88%,59%,16%,2020-07-22
-2,bja-ems-Redis-kzx-0002,10.1.4.222,EMS,Redis,A,Redis,8C32G,bja,AG,ARM,12%,17%,0%,0%,2020-01-25
3,bja-ems-Redis-kzx-0003,10.1.4.109,EMS,Redis,A,Redis,8C32G,bja,AG,ARM,14%,38%,0%,0%,2020-09-27
0,bja-ems-Redis-kzx-0004,10.1.4.77,EMS,Redis,A,Redis,8C32G,bja,AG,ARM,31%,19%,20%,4%,2020-12-22
3,bja-ems-Redis-kzx-0005,10.1.4.101,EMS,Redis,A,Redis,8C32G,bja,AG,ARM,25%,11%,25%,0%,2020-05-19
1,bja-ems-Redis-kzx-0006,10.1.4.159,EMS,Redis,A,Redis,8C32G,bja,AG,ARM,65%,21%,9%,4%,2020-01-26
2,bjb-ems-Redis-kzx-0001,10.1.5.37,EMS,Redis,A,Redis,8C32G,bjb,AG,ARM,11%,22%,0%,0%,2020-11-26
-1,bjb-ems-Redis-kzx-0002,10.1.5.66,EMS,Redis,A,Redis,8C32G,bjb,AG,ARM,59%,35%,42%,17%,2020-08-02
-1,bjb-ems-Redis-kzx-0003,10.1.5.60,EMS,Redis,A,Redis,8C32G,bjb,AG,ARM,47%,35%,2%,1%,2020-06-06
-2,bjb-ems-Redis-kzx-0004,10.1.5.39,EMS,Redis,A,Redis,8C32G,bjb,AG,ARM,21%,17%,36%,0%,2020-08-04
-3,bjb-ems-Redis-kzx-0005,10.1.5.252,EMS,Redis,A,Redis,8C32G,bjb,AG,ARM,99%,47%,43%,24%,2020-09-15
3,bjb-ems-Redis-kzx-0006,10.1.5.117,EMS,Redis,A,Redis,8C32G,bjb,AG,ARM,15%,25%,0%,0%,2020-06-03
0,hfa-ems-Redis-kzx-0001,10.1.3.1,EMS,Redis,A,Redis,2C8G,hfa,AG,C86,22%,22%,9%,0%,2020-06-10
3,hfa-ems-Redis-kzx-0002,10.1.3.243,EMS,Redis,A,Redis,2C8G,hfa,AG,C86,20%,47%,18%,0%,2020-06-23
-3,hfa-ems-Redis-kzx-0003,10.1.3.44,EMS,Redis,A,Redis,2C8G,hfa,AG,C86,33%,31%,32%,29%,2020-05-17
3,hfa-ems-Redis-kzx-0004,10.1.3.143,EMS,Redis,A,Redis,2C8G,hfa,AG,C86,53%,31%,71%,20%,2020-07-09
1,hfa-ems-Redis-kzx-0005,10.1.3.11,EMS,Redis,A,Redis,2C8G,hfa,AG,C86,97%,21%,6%,3%,2020-08-09
2,hfa-ems-Redis-kzx-0006,10.1.3.8,EMS,Redis,A,Redis,2C8G,hfa,AG,C86,13%,23%,0%,0%,2020-05-22
-2,bja-ems-app-kzx-0001,10.1.4.55,EMS,app,A,app,8C16G,bja,AG,ARM,57%,79%,45%,27%,2020-03-25
2,bja-ems-app-kzx-0002,10.1.4.181,EMS,app,A,app,8C16G,bja,AG,ARM,33%,75%,40%,7%,2020-05-24
-1,bjb-ems-app-kzx-0001,10.1.5.78,EMS,app,A,app,8C16G,bjb,AG,ARM,50%,81%,20%,10%,2020-05-18
-1,bjb-ems-app-kzx-0002,10.1.5.174,EMS,app,A,app,8C16G,bjb,AG,ARM,20%,81%,11%,0%,2020-07-19
-2,hfa-ems-app-kzx-0001,10.1.3.163,EMS,app,A,app,8C16G,hfa,AG,C86,100%,20%,60%,46%,2020-03-21
1,hfa-ems-app-kzx-0002,10.1.3.253,EMS,app,A,app,8C16G,hfa,AG,C86,75%,23%,55%,22%,2020-09-09
-2,bja-ems-web-kzx-0001,10.1.4.241,EMS,web,A,web,8C32G,bja,AG,ARM,76%,64%,35%,7%,2020-12-17
2,bja-ems-web-kzx-0002,10.1.4.174,EMS,web,A,web,8C32G,bja,AG,ARM,14%,35%,0%,0%,2020-07-15
2,bja-ems-web-kzx-0003,10.1.4.225,EMS,web,A,web,8C32G,bja,AG,ARM,31%,11%,9%,4%,2020-09-19
1,bjb-ems-web-kzx-0001,10.1.5.31,EMS,web,A,web,8C32G,bjb,AG,ARM,20%,27%,43%,0%,2020-09-18
-2,bjb-ems-web-kzx-0002,10.1.5.110,EMS,web,A,web,8C32G,bjb,AG,ARM,17%,85%,0%,0%,2020-05-19
-3,bjb-ems-web-kzx-0003,10.1.5.26,EMS,web,A,web,8C32G,bjb,AG,ARM,61%,41%,28%,4%,2020-07-20
0,hfa-ems-web-kzx-0001,10.1.3.233,EMS,web,A,web,4C16G,hfa,AG,ARM,96%,30%,13%,10%,2020-05-24
-2,hfa-ems-web-kzx-0002,10.1.3.161,EMS,web,A,web,4C16G,hfa,AG,ARM,24%,29%,5%,0%,2020-08-24
1,hfa-mail-Kafka-kzx-0001,10.1.3.148,MAIL,Kafka,B,Kafka,2C8G,hfa,AG,ARM,79%,37%,10%,5%,2020-11-27
1,hfa-mail-Kafka-kzx-0002,10.1.3.133,MAIL,Kafka,B,Kafka,2C8G,hfa,AG,ARM,21%,38%,58%,0%,2020-09-01
-1,hfa-mail-Kafka-kzx-0003,10.1.3.109,MAIL,Kafka,B,Kafka,2C8G,hfa,AG,ARM,21%,60%,17%,0%,2020-11-25
-3,sza-mail-Kafka-kzx-0001,10.1.1.94,MAIL,Kafka,B,Kafka,2C8G,sza,AG,ARM,75%,84%,53%,5%,2020-11-26
0,sza-mail-Kafka-kzx-0002,10.1.1.53,MAIL,Kafka,B,Kafka,2C8G,sza,AG,ARM,41%,100%,29%,20%,2020-11-10
-2,sza-mail-Kafka-kzx-0003,10.1.1.15,MAIL,Kafka,B,Kafka,2C8G,sza,AG,ARM,33%,56%,18%,10%,2020-05-02
-3,szb-mail-Kafka-kzx-0001,10.1.2.190,MAIL,Kafka,B,Kafka,2C8G,szb,AG,ARM,47%,14%,30%,8%,2020-03-05
2,szb-mail-Kafka-kzx-0002,10.1.2.163,MAIL,Kafka,B,Kafka,2C8G,szb,AG,ARM,73%,17%,30%,1%,2020-10-23
-1,szb-mail-Kafka-kzx-0003,10.1.2.128,MAIL,Kafka,B,Kafka,2C8G,szb,AG,ARM,17%,60%,0%,0%,2020-08-28
1,hfa-mail-MGR-kzx-0001,10.1.3.52,MAIL,MGR,B,MGR,2C8G,hfa,AG,C86,17%,17%,0%,0%,2020-03-22
-2,hfa-mail-MGR-kzx-0002,10.1.3.103,MAIL,MGR,B,MGR,2C8G,hfa,AG,C86,84%,52%,3%,1%,2020-01-18
2,sza-mail-MGR-kzx-0001,10.1.1.17,MAIL,MGR,B,MGR,32C64G,sza,AG,x86,93%,78%,73%,67%,2020-03-09
-2,sza-mail-MGR-kzx-0002,10.1.1.138,MAIL,MGR,B,MGR,32C64G,sza,AG,x86,57%,69%,1%,0%,2020-02-06
-2,szb-mail-MGR-kzx-0001,10.1.2.239,MAIL,MGR,B,MGR,32C64G,szb,AG,C86,37%,30%,25%,20%,2020-01-15
-1,szb-mail-MGR-kzx-0002,10.1.2.6,MAIL,MGR,B,MGR,32C64G,szb,AG,C86,12%,23%,0%,0%,2020-12-10
-1,hfa-mail-Nginx-kzx-0001,10.6.3.69,MAIL,Nginx,B,Nginx,2C4G,hfa,WEB,x86,24%,59%,10%,0%,2020-01-02
-2,hfa-mail-Nginx-kzx-0002,10.6.3.120,MAIL,Nginx,B,Nginx,2C4G,hfa,WEB,x86,24%,74%,27%,0%,2020-07-04
-1,sza-mail-Nginx-kzx-0001,10.6.1.164,MAIL,Nginx,B,Nginx,2C8G,sza,WEB,C86,93%,88%,66%,54%,2020-02-27
3,sza-mail-Nginx-kzx-0002,10.6.1.199,MAIL,Nginx,B,Nginx,2C8G,sza,WEB,C86,12%,99%,0%,0%,2020-06-01
-3,szb-mail-Nginx-kzx-0001,10.6.2.179,MAIL,Nginx,B,Nginx,2C8G,szb,WEB,ARM,49%,29%,7%,3%,2020-11-26
2,szb-mail-Nginx-kzx-0002,10.6.2.158,MAIL,Nginx,B,Nginx,2C8G,szb,WEB,ARM,24%,43%,30%,0%,2020-11-20
-2,hfa-mail-gateway-kzx-0001,10.1.3.130,MAIL,gateway,B,gateway,2C4G,hfa,AG,x86,72%,28%,7%,3%,2020-06-06
3,hfa-mail-gateway-kzx-0002,10.1.3.12,MAIL,gateway,B,gateway,2C4G,hfa,AG,x86,35%,19%,2%,1%,2020-12-11
2,hfa-mail-gateway-kzx-0003,10.1.3.163,MAIL,gateway,B,gateway,2C4G,hfa,AG,x86,25%,20%,39%,0%,2020-01-02
2,sza-mail-gateway-kzx-0001,10.1.1.236,MAIL,gateway,B,gateway,32C64G,sza,AG,C86,100%,90%,56%,23%,2020-08-06
3,sza-mail-gateway-kzx-0002,10.1.1.82,MAIL,gateway,B,gateway,32C64G,sza,AG,C86,28%,28%,16%,0%,2020-02-10
3,sza-mail-gateway-kzx-0003,10.1.1.123,MAIL,gateway,B,gateway,32C64G,sza,AG,C86,25%,78%,13%,0%,2020-02-06
-1,sza-mail-gateway-kzx-0004,10.1.1.98,MAIL,gateway,B,gateway,32C64G,sza,AG,C86,75%,83%,18%,3%,2020-04-13
-1,szb-mail-gateway-kzx-0001,10.1.2.111,MAIL,gateway,B,gateway,32C64G,szb,AG,C86,25%,13%,46%,0%,2020-03-20
-2,szb-mail-gateway-kzx-0002,10.1.2.233,MAIL,gateway,B,gateway,32C64G,szb,AG,C86,62%,53%,6%,3%,2020-09-19
-3,szb-mail-gateway-kzx-0003,10.1.2.9,MAIL,gateway,B,gateway,32C64G,szb,AG,C86,43%,59%,17%,6%,2020-09-27
-2,szb-mail-gateway-kzx-0004,10.1.2.172,MAIL,gateway,B,gateway,32C64G,szb,AG,C86,38%,34%,8%,4%,2020-10-05
3,hfa-mail-mail-kzx-0001,10.6.3.213,MAIL,mail,B,mail,16C32G,hfa,WEB,x86,14%,37%,0%,0%,2020-12-19
2,hfa-mail-mail-kzx-0002,10.6.3.24,MAIL,mail,B,mail,16C32G,hfa,WEB,x86,76%,15%,74%,10%,2020-04-27
3,sza-mail-mail-kzx-0001,10.6.1.10,MAIL,mail,B,mail,16C32G,sza,WEB,C86,94%,83%,69%,43%,2020-09-11
-3,sza-mail-mail-kzx-0002,10.6.1.183,MAIL,mail,B,mail,16C32G,sza,WEB,C86,69%,16%,51%,35%,2020-11-25
2,szb-mail-mail-kzx-0001,10.6.2.152,MAIL,mail,B,mail,16C32G,szb,WEB,ARM,34%,22%,69%,8%,2020-06-05
2,szb-mail-mail-kzx-0002,10.6.2.215,MAIL,mail,B,mail,16C32G,szb,WEB,ARM,66%,86%,7%,3%,2020-05-09
-2,hfa-mail-web-kzx-0001,10.1.3.185,MAIL,web,B,web,4C8G,hfa,AG,x86,57%,10%,14%,1%,2020-04-16
3,hfa-mail-web-kzx-0002,10.1.3.87,MAIL,web,B,web,4C8G,hfa,AG,x86,14%,19%,0%,0%,2020-09-09
2,sza-mail-web-kzx-0001,10.1.1.71,MAIL,web,B,web,4C16G,sza,AG,x86,53%,83%,74%,51%,2020-10-20
-3,sza-mail-web-kzx-0002,10.1.1.41,MAIL,web,B,web,4C16G,sza,AG,x86,16%,47%,0%,0%,2020-12-04
-1,szb-mail-web-kzx-0001,10.1.2.138,MAIL,web,B,web,4C16G,szb,AG,x86,26%,32%,2%,0%,2020-06-21
-3,szb-mail-web-kzx-0002,10.1.2.199,MAIL,web,B,web,4C16G,szb,AG,x86,24%,70%,18%,0%,2020-02-04
-2,bja-msg-Kafka-kzx-0001,10.2.4.235,MSG,Kafka,B,Kafka,16C32G,bja,SCYW,x86,74%,85%,59%,5%,2020-06-07
-3,bja-msg-Kafka-kzx-0002,10.2.4.195,MSG,Kafka,B,Kafka,16C32G,bja,SCYW,x86,54%,30%,17%,7%,2020-09-14
